category,id,name,size,task_type,units,minimum,maximum,species,tdc_rank,AUPRC,AUROC,R^2,MAE,url
Physicochemical,molecular_weight,Molecular Weight,,regression,Dalton,0,inf,-,,,,,,https://www.rdkit.org/docs/source/rdkit.Chem.Descriptors.html#rdkit.Chem.Descriptors.MolWt
Physicochemical,logP,LogP,,regression,log-ratio,-inf,inf,-,,,,,,https://www.rdkit.org/docs/source/rdkit.Chem.Crippen.html#rdkit.Chem.Crippen.MolLogP
Physicochemical,hydrogen_bond_acceptors,Hydrogen Bond Acceptors,,regression,#,0,inf,-,,,,,,https://www.rdkit.org/docs/source/rdkit.Chem.rdMolDescriptors.html#rdkit.Chem.rdMolDescriptors.CalcNumHBA
Physicochemical,hydrogen_bond_donors,Hydrogen Bond Donors,,regression,#,0,inf,-,,,,,,https://www.rdkit.org/docs/source/rdkit.Chem.rdMolDescriptors.html#rdkit.Chem.rdMolDescriptors.CalcNumHBD
Physicochemical,Lipinski,Lipinski Rule of 5,,regression,# of 4,0,4,-,,,,,,https://en.wikipedia.org/wiki/Lipinski%27s_rule_of_five#Components_of_the_rule
Physicochemical,QED,Quantitative Estimate of Druglikeness (QED),,regression,-,0,1,-,,,,,,https://www.rdkit.org/docs/source/rdkit.Chem.QED.html#rdkit.Chem.QED.qed
Physicochemical,stereo_centers,Stereo Centers,,regression,#,0,inf,-,,,,,,https://www.rdkit.org/docs/source/rdkit.Chem.rdMolDescriptors.html#rdkit.Chem.rdMolDescriptors.CalcNumAtomStereoCenters
Physicochemical,tpsa,Topological Polar Surface Area (TPSA),,regression,Å^2,0,inf,-,,,,,,https://www.rdkit.org/docs/source/rdkit.Chem.rdMolDescriptors.html#rdkit.Chem.rdMolDescriptors.CalcTPSA
Absorption,HIA_Hou,Human Intestinal Absorption,578,classification,-,0,1,human,2,0.996606708,0.980679753,,,https://tdcommons.ai/single_pred_tasks/adme/#hia-human-intestinal-absorption-hou-et-al
Absorption,Bioavailability_Ma,Oral Bioavailability,640,classification,-,0,1,human,5,0.898285256,0.783118134,,,https://tdcommons.ai/single_pred_tasks/adme/#bioavailability-ma-et-al
Absorption,Solubility_AqSolDB,Aqueous Solubility,9982,regression,log(mol/L),-inf,inf,-,1,,,0.814276627,0.673885697,https://tdcommons.ai/single_pred_tasks/adme/#solubility-aqsoldb
Absorption,Lipophilicity_AstraZeneca,Lipophilicity,4200,regression,log-ratio,-inf,inf,-,1,,,0.746047462,0.430572678,https://tdcommons.ai/single_pred_tasks/adme/#lipophilicity-astrazeneca
Absorption,HydrationFreeEnergy_FreeSolv,Hydration Free Energy,642,regression,kcal/mol,-inf,inf,-,-,,,0.919245,0.71341,https://tdcommons.ai/single_pred_tasks/adme/#hydration-free-energy-freesolv
Absorption,Caco2_Wang,Cell Effective Permeability,906,regression,log(10^-6 cm/s),-inf,inf,human,5,,,0.744364201,0.300075312,https://tdcommons.ai/single_pred_tasks/adme/#caco-2-cell-effective-permeability-wang-et-al
Absorption,PAMPA_NCATS,PAMPA Permeability,2034,classification,-,0,1,artificial membrane,-,0.94826615,0.798405536,,,https://tdcommons.ai/single_pred_tasks/adme/#pampa-permeability-ncats
Absorption,Pgp_Broccatelli,P-glycoprotein Inhibition,1212,classification,-,0,1,human pgp / mouse cells,10,0.959242927,0.945843699,,,https://tdcommons.ai/single_pred_tasks/adme/#pgp-p-glycoprotein-inhibition-broccatelli-et-al
Distribution,BBB_Martins,Blood-Brain Barrier Penetration,1975,classification,-,0,1,human,11,0.978083609,0.93934044,,,https://tdcommons.ai/single_pred_tasks/adme/#bbb-blood-brain-barrier-martins-et-al
Distribution,PPBR_AZ,Plasma Protein Binding Rate,1614,regression,%,0,100,human,3,,,0.462089051,7.754102431,https://tdcommons.ai/single_pred_tasks/adme/#ppbr-plasma-protein-binding-rate-astrazeneca
Distribution,VDss_Lombardo,Volume of Distribution at Steady State,1111,regression,L/kg,0,inf,human,10,,,-0.610145027,5.890426238,https://tdcommons.ai/single_pred_tasks/adme/#vdss-volumn-of-distribution-at-steady-state-lombardo-et-al
Excretion,Half_Life_Obach,Half Life,665,regression,hr,0,inf,human,7,,,-1.551572848,31.04670644,https://tdcommons.ai/single_pred_tasks/adme/#half-life-obach-et-al
Excretion,Clearance_Hepatocyte_AZ,Drug Clearance (Hepatocyte),1020,regression,uL/min/10^6 cells,0,inf,human,4,,,0.302233775,31.562803,https://tdcommons.ai/single_pred_tasks/adme/#clearance-astrazeneca
Excretion,Clearance_Microsome_AZ,Drug Clearance (Microsome),1102,regression,uL/min/mg,0,inf,human,2,,,0.300325493,25.2952124,https://tdcommons.ai/single_pred_tasks/adme/#clearance-astrazeneca
Metabolism,CYP1A2_Veith,CYP1A2 Inhibition,12579,classification,-,0,1,human,-,0.934630479,0.941599044,,,https://tdcommons.ai/single_pred_tasks/adme/#cyp-p450-1a2-inhibition-veith-et-al
